date,sales_total,dcoilwtico,year
2013-05-14,308469.3,93.96,2013
2013-05-15,329113.56,93.95,2013
2013-05-16,307556.94,94.85,2013
2013-05-17,330004.25,95.72,2013
2013-05-18,480969.56,95.72,2013
2013-05-19,518153.56,95.72,2013
2013-05-20,341787.22,96.29,2013
2013-05-21,307178.4,95.55,2013
2013-05-22,301785.47,93.98,2013
2013-05-23,289261.06,94.12,2013
2013-05-24,398389.25,93.84,2013
2013-05-25,417930.16,93.84,2013
2013-05-26,450631.4,93.84,2013
2013-05-27,321630.84,93.84,2013
2013-05-28,307329.16,94.65,2013
2013-05-29,309333.38,93.13,2013
2013-05-30,304344.84,93.57,2013
2013-05-31,330257.84,91.93,2013
2013-06-01,566901.8,91.93,2013
2013-06-02,637698.5,91.93,2013
2013-06-03,426332.1,93.41,2013
2013-06-04,369705.16,93.36,2013
2013-06-05,361791.1,93.66,2013
2013-06-06,317496.75,94.71,2013
2013-06-07,357673.1,96.11,2013
2013-06-08,466292.7,96.11,2013
2013-06-09,526804.75,96.11,2013
2013-06-10,349754.28,95.82,2013
2013-06-11,283858.22,95.5,2013
2013-06-12,320173.56,95.98,2013
2013-06-13,282886.9,96.66,2013
2013-06-14,326956.75,97.83,2013
2013-06-15,505950.66,97.83,2013
2013-06-16,435894.1,97.83,2013
2013-06-17,370944.28,97.86,2013
2013-06-18,320885.34,98.46,2013
2013-06-19,319235.25,98.24,2013
2013-06-20,293877.94,94.89,2013
2013-06-21,319722.7,93.81,2013
2013-06-22,446347.3,93.81,2013
2013-06-23,504964.84,93.81,2013
2013-06-24,336631.97,95.07,2013
2013-06-25,305119.53,95.25,2013
2013-06-26,301847.25,95.47,2013
2013-06-27,266525.47,97.0,2013
2013-06-28,324210.97,96.36,2013
2013-06-29,509379.1,96.36,2013
2013-06-30,533481.7,96.36,2013
2013-07-01,441758.38,97.94,2013
2013-07-02,390958.38,99.65,2013
2013-07-03,374551.9,101.92,2013
2013-07-04,327020.2,101.92,2013
2013-07-05,351401.5,103.09,2013
2013-07-06,479514.5,103.09,2013
2013-07-07,500606.06,103.09,2013
2013-07-08,365453.0,103.03,2013
2013-07-09,317279.16,103.46,2013
2013-07-10,314134.88,106.41,2013
2013-07-11,281750.94,104.77,2013
2013-07-12,308786.44,105.85,2013
2013-07-13,432569.1,105.85,2013
2013-07-14,438722.4,105.85,2013
2013-07-15,348803.03,106.2,2013
2013-07-16,335516.22,105.88,2013
2013-07-17,324313.8,106.39,2013
2013-07-18,287074.88,107.94,2013
2013-07-19,313332.56,108.0,2013
2013-07-20,435497.72,108.0,2013
2013-07-21,437952.62,108.0,2013
2013-07-22,342802.3,106.61,2013
2013-07-23,316257.47,107.13,2013
2013-07-24,309243.78,105.41,2013
2013-07-25,298074.22,105.47,2013
2013-07-26,318745.7,104.76,2013
2013-07-27,423890.5,104.76,2013
2013-07-28,433358.66,104.76,2013
2013-07-29,331493.28,104.61,2013
2013-07-30,318554.0,103.14,2013
2013-07-31,357982.97,105.1,2013
2013-08-01,397555.3,107.93,2013
2013-08-02,393831.12,106.94,2013
2013-08-03,516956.84,106.94,2013
2013-08-04,514267.28,106.94,2013
2013-08-05,407033.8,106.61,2013
2013-08-06,357263.84,105.32,2013
2013-08-07,351302.12,104.41,2013
2013-08-08,310953.03,103.45,2013
2013-08-09,337521.66,106.04,2013
2013-08-10,434184.94,106.04,2013
2013-08-11,434720.3,106.04,2013
2013-08-12,349539.22,106.19,2013
2013-08-13,317103.34,106.78,2013
2013-08-14,324377.38,106.89,2013
2013-08-15,311043.16,107.43,2013
2013-08-16,364487.3,107.58,2013
2013-08-17,448835.3,107.58,2013
2013-08-18,464053.78,107.58,2013
2013-08-19,362085.53,107.14,2013
2013-08-20,343046.12,104.9,2013
2013-08-21,335724.66,103.93,2013
2013-08-22,306473.25,104.93,2013
2013-08-23,331906.38,106.48,2013
2013-08-24,420576.16,106.48,2013
2013-08-25,443694.1,106.48,2013
2013-08-26,347159.66,105.88,2013
2013-08-27,319688.22,109.11,2013
2013-08-28,319322.06,110.17,2013
2013-08-29,294518.7,108.51,2013
2013-08-30,354932.94,107.98,2013
2013-08-31,523631.38,107.98,2013
2013-09-01,640406.25,107.98,2013
2013-09-02,458792.97,107.98,2013
2013-09-03,397680.4,108.67,2013
2013-09-04,392565.5,107.29,2013
2013-09-05,330622.78,108.5,2013
2013-09-06,335442.25,110.62,2013
2013-09-07,518584.25,110.62,2013
2013-09-08,560852.0,110.62,2013
2013-09-09,377151.72,109.62,2013
2013-09-10,308074.47,107.48,2013
2013-09-11,323124.62,107.65,2013
2013-09-12,282855.72,108.72,2013
2013-09-13,319556.94,108.31,2013
2013-09-14,476364.0,108.31,2013
2013-09-15,532852.94,108.31,2013
2013-09-16,373229.84,106.54,2013
2013-09-17,327282.94,105.36,2013
2013-09-18,315687.72,108.23,2013
2013-09-19,279580.38,106.26,2013
2013-09-20,331846.9,104.7,2013
2013-09-21,468298.38,104.7,2013
2013-09-22,502068.7,104.7,2013
2013-09-23,356043.03,103.62,2013
2013-09-24,303333.4,103.22,2013
2013-09-25,312490.1,102.68,2013
2013-09-26,273057.88,103.1,2013
2013-09-27,320246.56,102.86,2013
2013-09-28,484903.7,102.86,2013
2013-09-29,522868.44,102.86,2013
2013-09-30,367068.44,102.36,2013
2013-10-01,436441.03,102.09,2013
2013-10-02,414455.66,104.15,2013
2013-10-03,348933.25,103.29,2013
2013-10-04,378109.97,103.83,2013
2013-10-05,540156.6,103.83,2013
2013-10-06,553031.44,103.83,2013
2013-10-07,373387.1,103.07,2013
2013-10-08,326726.72,103.54,2013
2013-10-09,322529.4,101.63,2013
2013-10-10,305047.1,103.08,2013
2013-10-11,402913.84,102.17,2013
2013-10-12,426379.7,102.17,2013
2013-10-13,481781.25,102.17,2013
2013-10-14,342694.72,102.46,2013
2013-10-15,305242.56,101.15,2013
2013-10-16,355696.97,102.34,2013
2013-10-17,312949.4,100.72,2013
2013-10-18,323327.88,100.87,2013
2013-10-19,488245.56,100.87,2013
2013-10-20,537713.5,100.87,2013
2013-10-21,348721.3,99.28,2013
2013-10-22,301641.78,97.63,2013
2013-10-23,323105.12,96.9,2013
2013-10-24,276059.1,96.65,2013
2013-10-25,317570.44,97.4,2013
2013-10-26,452902.38,97.4,2013
2013-10-27,512891.5,97.4,2013
2013-10-28,346941.9,98.74,2013
2013-10-29,302333.0,98.29,2013
2013-10-30,319494.72,96.81,2013
2013-10-31,298195.44,96.29,2013
2013-11-01,403637.22,94.56,2013
2013-11-02,540615.56,94.56,2013
2013-11-03,602796.56,94.56,2013
2013-11-04,424314.16,94.58,2013
2013-11-05,393322.2,93.4,2013
2013-11-06,386426.97,94.74,2013
2013-11-07,346293.34,94.25,2013
2013-11-08,358473.97,94.56,2013
2013-11-09,513850.3,94.56,2013
2013-11-10,587666.5,94.56,2013
2013-11-11,374087.9,95.13,2013
2013-11-12,373277.75,93.12,2013
2013-11-13,332279.25,93.91,2013
2013-11-14,284567.4,93.76,2013
2013-11-15,349383.28,93.8,2013
2013-11-16,524065.6,93.8,2013
2013-11-17,579209.25,93.8,2013
2013-11-18,391945.56,93.03,2013
2013-11-19,329455.28,93.35,2013
2013-11-20,354337.72,93.34,2013
2013-11-21,298047.06,95.35,2013
2013-11-22,340734.22,94.53,2013
2013-11-23,485544.3,94.53,2013
2013-11-24,550925.3,94.53,2013
2013-11-25,365965.5,93.86,2013
2013-11-26,323292.84,93.41,2013
2013-11-27,337083.28,92.05,2013
2013-11-28,305982.97,92.05,2013
2013-11-29,357000.4,92.55,2013
2013-11-30,541977.7,92.55,2013
2013-12-01,698217.1,92.55,2013
2013-12-02,495488.38,93.61,2013
2013-12-03,424438.03,95.83,2013
2013-12-04,424147.03,96.97,2013
2013-12-05,386406.8,97.14,2013
2013-12-06,432661.75,97.48,2013
2013-12-07,537181.3,97.48,2013
2013-12-08,588855.9,97.48,2013
2013-12-09,442309.3,97.1,2013
2013-12-10,414421.7,98.32,2013
2013-12-11,422957.2,97.25,2013
2013-12-12,384256.1,97.21,2013
2013-12-13,434657.0,96.27,2013
2013-12-14,554911.94,96.27,2013
2013-12-15,642015.75,96.27,2013
2013-12-16,516060.28,97.18,2013
2013-12-17,480470.72,96.99,2013
2013-12-18,527481.3,97.59,2013
2013-12-19,507461.03,98.4,2013
2013-12-20,544104.25,99.11,2013
2013-12-21,685673.06,99.11,2013
2013-12-22,696295.1,99.11,2013
2013-12-23,792865.3,98.62,2013
2013-12-24,620663.3,98.87,2013
2013-12-26,470731.16,99.18,2013
2013-12-27,479314.97,99.94,2013
2013-12-28,556952.3,99.94,2013
2013-12-29,499719.5,99.94,2013
2013-12-30,635134.75,98.9,2013
2013-12-31,507264.66,98.17,2013
2014-01-01,8602.065,98.17,2014
2014-01-02,801011.25,95.14,2014
2014-01-03,680672.9,93.66,2014
2014-01-04,936628.9,93.66,2014
2014-01-05,949618.8,93.66,2014
2014-01-06,602268.56,93.12,2014
2014-01-07,563450.6,93.31,2014
2014-01-08,636176.9,91.9,2014
2014-01-09,496377.94,91.36,2014
2014-01-10,543055.3,92.39,2014
2014-01-11,787321.44,92.39,2014
2014-01-12,844633.6,92.39,2014
2014-01-13,555547.0,91.45,2014
2014-01-14,502643.1,92.15,2014
2014-01-15,567067.5,93.78,2014
2014-01-16,502789.22,93.54,2014
2014-01-17,542937.94,93.96,2014
2014-01-18,786779.9,93.96,2014
2014-01-19,851735.3,93.96,2014
2014-01-20,575850.06,93.96,2014
2014-01-21,538817.2,94.51,2014
2014-01-22,553097.6,96.35,2014
2014-01-23,460789.03,97.23,2014
2014-01-24,526124.56,96.66,2014
2014-01-25,733881.0,96.66,2014
2014-01-26,814057.75,96.66,2014
2014-01-27,540798.8,95.82,2014
2014-01-28,481593.44,97.49,2014
2014-01-29,512854.0,97.34,2014
2014-01-30,453642.97,98.25,2014
2014-01-31,560816.2,97.55,2014
2014-02-01,648870.2,97.55,2014
2014-02-02,619805.56,97.55,2014
2014-02-03,461637.53,96.44,2014
2014-02-04,403189.6,97.24,2014
2014-02-05,399138.3,97.4,2014
2014-02-06,359139.1,97.84,2014
2014-02-07,389471.56,99.98,2014
2014-02-08,530128.06,99.98,2014
2014-02-09,520753.75,99.98,2014
2014-02-10,396622.75,100.12,2014
2014-02-11,358382.72,99.96,2014
2014-02-12,387758.4,100.38,2014
2014-02-13,347373.3,100.27,2014
2014-02-14,361206.4,100.31,2014
2014-02-15,538893.4,100.31,2014
2014-02-16,595300.25,100.31,2014
2014-02-17,412029.28,100.31,2014
2014-02-18,365331.25,102.54,2014
2014-02-19,360161.62,103.46,2014
2014-02-20,322451.9,103.2,2014
2014-02-21,369403.66,102.53,2014
2014-02-22,538206.06,102.53,2014
2014-02-23,487896.47,102.53,2014
2014-02-24,404224.2,103.17,2014
2014-02-25,351418.12,102.2,2014
2014-02-26,353604.28,102.93,2014
2014-02-27,330330.2,102.68,2014
2014-02-28,425624.78,102.88,2014
2014-03-01,911360.25,102.88,2014
2014-03-02,667413.06,102.88,2014
2014-03-03,613973.0,105.34,2014
2014-03-04,748930.9,103.64,2014
2014-03-05,741756.44,101.75,2014
2014-03-06,614082.44,101.82,2014
2014-03-07,598242.3,102.82,2014
2014-03-08,753345.25,102.82,2014
2014-03-09,916117.6,102.82,2014
2014-03-10,587414.8,101.39,2014
2014-03-11,539365.4,100.29,2014
2014-03-12,575676.8,98.29,2014
2014-03-13,473298.03,98.57,2014
2014-03-14,530515.25,99.23,2014
2014-03-15,731049.8,99.23,2014
2014-03-16,929808.5,99.23,2014
2014-03-17,612719.5,98.43,2014
2014-03-18,537427.9,100.08,2014
2014-03-19,585974.7,100.71,2014
2014-03-20,500897.12,99.68,2014
2014-03-21,548811.5,99.97,2014
2014-03-22,771704.94,99.97,2014
2014-03-23,838814.6,99.97,2014
2014-03-24,571762.06,100.05,2014
2014-03-25,539861.6,99.66,2014
2014-03-26,569680.56,100.61,2014
2014-03-27,468581.4,101.25,2014
2014-03-28,538905.8,101.73,2014
2014-03-29,822333.1,101.73,2014
2014-03-30,873958.8,101.73,2014
2014-03-31,651800.5,101.57,2014
2014-04-01,485079.88,99.69,2014
2014-04-02,463917.3,99.6,2014
2014-04-03,388867.97,100.29,2014
2014-04-04,422578.75,101.16,2014
2014-04-05,617680.2,101.16,2014
2014-04-06,631888.25,101.16,2014
2014-04-07,426091.1,100.43,2014
2014-04-08,376663.28,102.57,2014
2014-04-09,375309.1,103.55,2014
2014-04-10,334052.75,103.37,2014
2014-04-11,379646.84,103.68,2014
2014-04-12,529919.94,103.68,2014
2014-04-13,540190.3,103.68,2014
2014-04-14,381386.3,104.05,2014
2014-04-15,364689.06,103.7,2014
2014-04-16,411357.1,103.71,2014
2014-04-17,397464.84,104.33,2014
2014-04-18,394392.2,104.33,2014
2014-04-19,496904.75,104.33,2014
2014-04-20,520126.4,104.33,2014
2014-04-21,398677.4,104.35,2014
2014-04-22,370552.25,101.69,2014
2014-04-23,372232.6,101.47,2014
2014-04-24,320875.47,102.2,2014
2014-04-25,357173.72,100.85,2014
2014-04-26,497334.75,100.85,2014
2014-04-27,560508.44,100.85,2014
2014-04-28,362271.9,101.13,2014
2014-04-29,326338.34,101.56,2014
2014-04-30,357079.97,100.07,2014
2014-05-01,530380.9,99.69,2014
2014-05-02,443284.9,100.09,2014
2014-05-03,610391.75,100.09,2014
2014-05-04,646164.9,100.09,2014
2014-05-05,427601.72,99.74,2014
2014-05-06,388945.88,99.81,2014
2014-05-07,391932.2,101.06,2014
2014-05-08,337483.72,100.52,2014
2014-05-09,381335.2,100.32,2014
2014-05-10,577012.0,100.32,2014
2014-05-11,454512.94,100.32,2014
2014-05-12,398251.88,100.89,2014
2014-05-13,360734.53,102.01,2014
2014-05-14,356373.8,102.63,2014
2014-05-15,332272.84,101.74,2014
2014-05-16,380822.75,102.31,2014
2014-05-17,537873.94,102.31,2014
2014-05-18,634519.75,102.31,2014
2014-05-19,388814.75,102.95,2014
2014-05-20,354372.34,102.8,2014
2014-05-21,356898.47,104.31,2014
2014-05-22,310660.16,104.03,2014
2014-05-23,349549.9,105.01,2014
2014-05-24,516627.25,105.01,2014
2014-05-25,573412.2,105.01,2014
2014-05-26,373831.1,105.01,2014
2014-05-27,327642.16,104.78,2014
2014-05-28,338481.78,103.37,2014
2014-05-29,326624.56,104.26,2014
2014-05-30,375782.62,103.4,2014
2014-05-31,597192.44,103.4,2014
2014-06-01,742732.8,103.4,2014
2014-06-02,512725.78,103.07,2014
2014-06-03,443636.2,103.34,2014
2014-06-04,423284.5,103.27,2014
2014-06-05,359474.5,103.17,2014
2014-06-06,391266.12,103.32,2014
2014-06-07,557142.44,103.32,2014
2014-06-08,626026.94,103.32,2014
2014-06-09,415798.94,105.09,2014
2014-06-10,351689.44,105.02,2014
2014-06-11,373828.16,105.04,2014
2014-06-12,329408.06,107.2,2014
2014-06-13,392308.38,107.49,2014
2014-06-14,622073.0,107.49,2014
2014-06-15,441279.94,107.49,2014
2014-06-16,447450.25,107.52,2014
2014-06-17,380396.03,106.95,2014
2014-06-18,373408.66,106.64,2014
2014-06-19,332280.94,107.08,2014
2014-06-20,369206.78,107.95,2014
2014-06-21,538613.9,107.95,2014
2014-06-22,591184.1,107.95,2014
2014-06-23,414929.62,106.83,2014
2014-06-24,340464.75,106.64,2014
2014-06-25,355342.4,107.04,2014
2014-06-26,315798.2,106.49,2014
2014-06-27,370793.56,106.46,2014
2014-06-28,510870.8,106.46,2014
2014-06-29,567218.9,106.46,2014
2014-06-30,429324.06,106.07,2014
2014-07-01,720480.6,106.06,2014
2014-07-02,747430.1,105.18,2014
2014-07-03,583844.75,104.76,2014
2014-07-04,595424.3,104.76,2014
2014-07-05,817307.1,104.76,2014
2014-07-06,918276.6,104.76,2014
2014-07-07,638526.44,104.19,2014
2014-07-08,557291.5,104.06,2014
2014-07-09,574451.44,102.93,2014
2014-07-10,498047.56,103.61,2014
2014-07-11,535644.2,101.48,2014
2014-07-12,756698.75,101.48,2014
2014-07-13,733653.75,101.48,2014
2014-07-14,584867.1,101.73,2014
2014-07-15,562860.0,100.56,2014
2014-07-16,621336.5,101.88,2014
2014-07-17,498221.72,103.84,2014
2014-07-18,547619.06,103.83,2014
2014-07-19,728988.25,103.83,2014
2014-07-20,776474.1,103.83,2014
2014-07-21,600228.44,105.34,2014
2014-07-22,530276.06,104.59,2014
2014-07-23,574168.6,103.81,2014
2014-07-24,484618.8,102.76,2014
2014-07-25,579767.3,105.23,2014
2014-07-26,688919.56,105.23,2014
2014-07-27,747307.9,105.23,2014
2014-07-28,583936.7,105.68,2014
2014-07-29,524743.3,104.91,2014
2014-07-30,578056.94,104.29,2014
2014-07-31,532423.56,98.23,2014
2014-08-01,506826.78,97.86,2014
2014-08-02,626533.6,97.86,2014
2014-08-03,625898.2,97.86,2014
2014-08-04,471173.3,98.26,2014
2014-08-05,417197.47,97.34,2014
2014-08-06,402914.38,96.93,2014
2014-08-07,359701.53,97.34,2014
2014-08-08,397759.94,97.61,2014
2014-08-09,496192.78,97.61,2014
2014-08-10,509681.75,97.61,2014
2014-08-11,409544.56,98.09,2014
2014-08-12,353898.22,97.36,2014
2014-08-13,372116.53,97.57,2014
2014-08-14,340740.8,95.54,2014
2014-08-15,402631.84,97.3,2014
2014-08-16,533996.1,97.3,2014
2014-08-17,564443.2,97.3,2014
2014-08-18,433042.3,96.44,2014
2014-08-19,379329.94,94.35,2014
2014-08-20,398126.78,96.4,2014
2014-08-21,355108.88,93.97,2014
2014-08-22,388359.9,93.61,2014
2014-08-23,499678.22,93.61,2014
2014-08-24,528990.56,93.61,2014
2014-08-25,412250.06,95.39,2014
2014-08-26,355053.9,95.78,2014
2014-08-27,366321.5,95.82,2014
2014-08-28,327912.44,96.44,2014
2014-08-29,403288.9,97.86,2014
2014-08-30,586373.7,97.86,2014
2014-08-31,660088.2,97.86,2014
2014-09-01,812526.2,97.86,2014
2014-09-02,717351.56,92.92,2014
2014-09-03,726683.9,95.5,2014
2014-09-04,551340.06,94.51,2014
2014-09-05,603043.25,93.32,2014
2014-09-06,870139.44,93.32,2014
2014-09-07,997964.06,93.32,2014
2014-09-08,648651.75,92.64,2014
2014-09-09,562420.56,92.73,2014
2014-09-10,612987.5,91.71,2014
2014-09-11,483462.94,92.89,2014
2014-09-12,564382.9,92.18,2014
2014-09-13,795802.25,92.18,2014
2014-09-14,896501.56,92.18,2014
2014-09-15,630710.56,92.86,2014
2014-09-16,608240.0,94.91,2014
2014-09-17,617472.3,94.33,2014
2014-09-18,479500.84,93.07,2014
2014-09-19,550213.1,92.43,2014
2014-09-20,808490.75,92.43,2014
2014-09-21,901420.44,92.43,2014
2014-09-22,589120.3,91.46,2014
2014-09-23,559954.3,91.55,2014
2014-09-24,598183.1,93.6,2014
2014-09-25,466867.38,93.59,2014
2014-09-26,515474.22,95.55,2014
2014-09-27,781202.4,95.55,2014
2014-09-28,886531.8,95.55,2014
2014-09-29,586682.8,94.53,2014
2014-09-30,599093.94,91.17,2014
2014-10-01,784500.25,90.74,2014
2014-10-02,634306.5,91.02,2014
2014-10-03,675639.3,89.76,2014
2014-10-04,931317.5,89.76,2014
2014-10-05,985466.94,89.76,2014
2014-10-06,641480.75,90.33,2014
2014-10-07,586410.25,88.89,2014
2014-10-08,620201.3,87.29,2014
2014-10-09,510519.94,85.76,2014
2014-10-10,702470.3,85.87,2014
2014-10-11,748309.1,85.87,2014
2014-10-12,843971.1,85.87,2014
2014-10-13,611726.94,85.73,2014
2014-10-14,550589.56,81.72,2014
2014-10-15,624797.5,81.82,2014
2014-10-16,538252.6,82.33,2014
2014-10-17,558538.1,82.8,2014
2014-10-18,820840.94,82.8,2014
2014-10-19,935410.56,82.8,2014
2014-10-20,624630.0,82.76,2014
2014-10-21,542207.2,83.25,2014
2014-10-22,584926.4,80.52,2014
2014-10-23,492233.22,82.81,2014
2014-10-24,528403.7,81.27,2014
2014-10-25,758926.25,81.27,2014
2014-10-26,892128.5,81.27,2014
2014-10-27,572806.6,81.26,2014
2014-10-28,512678.8,81.36,2014
2014-10-29,560819.7,82.25,2014
2014-10-30,459715.28,81.06,2014
2014-10-31,561876.06,80.53,2014
2014-11-01,873539.25,80.53,2014
2014-11-02,709851.5,80.53,2014
2014-11-03,973192.06,78.77,2014
2014-11-04,702751.94,77.15,2014
2014-11-05,718799.94,78.71,2014
2014-11-06,566118.4,77.87,2014
2014-11-07,585330.25,78.71,2014
2014-11-08,816064.6,78.71,2014
2014-11-09,941478.44,78.71,2014
2014-11-10,593376.8,77.43,2014
2014-11-11,552505.75,77.85,2014
2014-11-12,588093.5,77.16,2014
2014-11-13,468057.38,74.13,2014
2014-11-14,553008.0,75.91,2014
2014-11-15,786124.2,75.91,2014
2014-11-16,956619.4,75.91,2014
2014-11-17,620876.3,75.64,2014
2014-11-18,553367.2,74.55,2014
2014-11-19,580234.0,74.55,2014
2014-11-20,511855.75,75.63,2014
2014-11-21,567978.75,76.52,2014
2014-11-22,763720.1,76.52,2014
2014-11-23,907432.7,76.52,2014
2014-11-24,610847.94,75.74,2014
2014-11-25,541225.6,74.04,2014
2014-11-26,579125.3,73.7,2014
2014-11-27,475823.9,73.7,2014
2014-11-28,559619.8,65.94,2014
2014-11-29,850925.1,65.94,2014
2014-11-30,1.02369125e+06,65.94,2014
2014-12-01,817413.56,68.98,2014
2014-12-02,735319.2,66.99,2014
2014-12-03,715127.6,67.3,2014
2014-12-04,578961.5,66.73,2014
2014-12-05,635445.1,65.89,2014
2014-12-06,829386.7,65.89,2014
2014-12-07,1.0138898e+06,65.89,2014
2014-12-08,790283.3,63.13,2014
2014-12-09,665123.94,63.74,2014
2014-12-10,732121.06,60.99,2014
2014-12-11,580542.2,60.01,2014
2014-12-12,642760.4,57.81,2014
2014-12-13,854830.9,57.81,2014
2014-12-14,999106.1,57.81,2014
2014-12-15,790182.94,55.96,2014
2014-12-16,799067.06,55.97,2014
2014-12-17,779966.5,56.43,2014
2014-12-18,731938.5,54.18,2014
2014-12-19,757349.4,56.91,2014
2014-12-20,935555.5,56.91,2014
2014-12-21,1.0566052e+06,56.91,2014
2014-12-22,1.0081434e+06,55.25,2014
2014-12-23,1.064978e+06,56.78,2014
2014-12-24,965982.9,55.7,2014
2014-12-26,872098.44,54.59,2014
2014-12-27,740596.2,54.59,2014
2014-12-28,716329.6,54.59,2014
2014-12-29,773998.4,53.46,2014
2014-12-30,912970.56,54.14,2014
2014-12-31,844380.5,53.45,2014
2015-01-01,12773.617,53.45,2015
2015-01-02,657763.4,52.72,2015
2015-01-03,648880.7,52.72,2015
2015-01-04,730923.75,52.72,2015
2015-01-05,569267.3,50.05,2015
2015-01-06,477886.75,47.98,2015
